Episode,Total Reward,Epsilon
1,4925,0.995
2,3190,0.990025
3,3732,0.985074875
4,1916,0.9801495006250001
5,5976,0.9752487531218751
6,3857,0.9703725093562657
7,3973,0.9655206468094844
8,5798,0.960693043575437
9,4499,0.9558895783575597
10,3953,0.9511101304657719
11,2243,0.946354579813443
12,3307,0.9416228069143757
13,5577,0.9369146928798039
14,2717,0.9322301194154049
15,2577,0.9275689688183278
16,321,0.9229311239742362
17,10067,0.918316468354365
18,6726,0.9137248860125932
19,225,0.9091562615825302
20,3588,0.9046104802746175
21,1873,0.9000874278732445
22,7373,0.8955869907338783
23,7693,0.8911090557802088
24,14793,0.8866535105013078
25,4331,0.8822202429488013
26,14663,0.8778091417340573
27,4212,0.8734200960253871
28,22451,0.8690529955452602
29,8178,0.8647077305675338
30,6700,0.8603841919146962
31,3644,0.8560822709551227
32,12804,0.851801859600347
33,15905,0.8475428503023453
34,17501,0.8433051360508336
35,5989,0.8390886103705794
36,15370,0.8348931673187264
37,2948,0.8307187014821328
38,6435,0.8265651079747222
39,4598,0.8224322824348486
40,3150,0.8183201210226743
41,6927,0.8142285204175609
42,20211,0.810157377815473
43,18011,0.8061065909263957
44,16306,0.8020760579717637
45,12812,0.798065677681905
46,8841,0.7940753492934954
47,20983,0.7901049725470279
48,9238,0.7861544476842928
49,4594,0.7822236754458713
50,19229,0.778312557068642
