Episode,Total Reward,Epsilon
1,542,0.995
2,2082,0.990025
3,506,0.985074875
4,1795,0.9801495006250001
5,2664,0.9752487531218751
6,436,0.9703725093562657
7,2013,0.9655206468094844
8,1532,0.960693043575437
9,1159,0.9558895783575597
10,2810,0.9511101304657719
11,2400,0.946354579813443
12,1140,0.9416228069143757
13,7821,0.9369146928798039
14,1749,0.9322301194154049
15,9565,0.9275689688183278
16,1626,0.9229311239742362
17,5595,0.918316468354365
18,3668,0.9137248860125932
19,7578,0.9091562615825302
20,6665,0.9046104802746175
21,2207,0.9000874278732445
22,3204,0.8955869907338783
23,10912,0.8911090557802088
24,11461,0.8866535105013078
25,16664,0.8822202429488013
26,9150,0.8778091417340573
27,4208,0.8734200960253871
28,14397,0.8690529955452602
29,10446,0.8647077305675338
30,10456,0.8603841919146962
31,9497,0.8560822709551227
32,10810,0.851801859600347
33,14329,0.8475428503023453
34,9364,0.8433051360508336
35,21445,0.8390886103705794
36,21604,0.8348931673187264
37,20566,0.8307187014821328
38,7983,0.8265651079747222
39,9943,0.8224322824348486
40,4869,0.8183201210226743
41,3032,0.8142285204175609
42,16110,0.810157377815473
43,29626,0.8061065909263957
44,10303,0.8020760579717637
45,23499,0.798065677681905
46,18977,0.7940753492934954
47,14314,0.7901049725470279
48,12442,0.7861544476842928
49,8575,0.7822236754458713
50,5173,0.778312557068642
51,3528,0.7744209942832988
52,10443,0.7705488893118823
53,17528,0.7666961448653229
54,9713,0.7628626641409962
55,31508,0.7590483508202912
56,5188,0.7552531090661897
57,11379,0.7514768435208588
58,10185,0.7477194593032545
59,6773,0.7439808620067382
60,6355,0.7402609576967045
61,10417,0.736559652908221
62,13123,0.7328768546436799
63,10455,0.7292124703704616
64,10215,0.7255664080186093
65,10539,0.7219385759785162
66,16836,0.7183288830986236
67,14665,0.7147372386831305
68,9027,0.7111635524897149
69,6373,0.7076077347272662
70,19889,0.7040696960536299
71,2203,0.7005493475733617
72,12471,0.697046600835495
73,9928,0.6935613678313175
74,11493,0.6900935609921609
75,30811,0.6866430931872001
76,30879,0.6832098777212641
77,26898,0.6797938283326578
78,34675,0.6763948591909945
79,5408,0.6730128848950395
80,26771,0.6696478204705644
81,6838,0.6662995813682115
82,22545,0.6629680834613705
83,7044,0.6596532430440636
84,22612,0.6563549768288433
85,6056,0.653073201944699
86,11577,0.6498078359349755
87,10746,0.6465587967553006
88,19266,0.6433260027715241
89,28390,0.6401093727576664
90,16584,0.6369088258938781
91,5127,0.6337242817644086
92,15610,0.6305556603555866
93,17648,0.6274028820538087
94,5181,0.6242658676435396
95,23431,0.6211445383053219
96,8304,0.6180388156137953
97,5555,0.6149486215357263
98,29151,0.6118738784280476
99,71404,0.6088145090359074
100,4156,0.6057704364907278
101,10195,0.6027415843082742
102,7783,0.5997278763867329
103,46550,0.5967292370047992
104,12688,0.5937455908197752
105,1132,0.5907768628656763
106,4116,0.5878229785513479
107,8444,0.5848838636585911
108,3189,0.5819594443402982
109,8005,0.5790496471185967
110,7208,0.5761543988830038
