Episode,Total Reward,Epsilon
248,1375,0.2884855236625661
249,1322,0.28704309604425327
250,444,0.285607880564032
251,74,0.28417984116121187
252,2209,0.2827589419554058
253,206,0.28134514724562876
254,3139,0.2799384215094006
255,1228,0.27853872940185365
256,1521,0.27714603575484437
257,1782,0.2757603055760701
258,711,0.2743815040481898
259,284,0.2730095965279488
260,541,0.27164454854530906
261,927,0.2702863258025825
262,831,0.2689348941735696
263,1174,0.26759021970270175
264,615,0.2662522686041882
265,360,0.2649210072611673
266,-105,0.26359640222486147
267,3,0.26227842021373715
268,974,0.2609670281126685
269,1025,0.25966219297210513
270,111,0.2583638820072446
271,2175,0.2570720625972084
272,431,0.25578670228422234
273,367,0.25450776877280124
274,388,0.2532352299289372
275,1073,0.2519690537792925
276,580,0.2507092085103961
277,649,0.2494556624678441
278,186,0.24820838415550486
279,885,0.24696734223472733
280,1009,0.2457325055235537
281,100,0.24450384299593592
282,512,0.24328132378095624
283,1996,0.24206491716205145
284,923,0.2408545925762412
285,868,0.23965031961336
286,760,0.2384520680152932
287,701,0.23725980767521673
288,445,0.23607350863684065
289,418,0.23489314109365644
290,546,0.23371867538818816
291,1397,0.23255008201124722
292,1018,0.231387331601191
293,2255,0.23023039494318503
294,1117,0.2290792429684691
295,931,0.22793384675362674
296,100,0.22679417751985861
297,1143,0.22566020663225933
298,732,0.22453190559909803
299,2414,0.22340924607110255
300,537,0.22229219984074702
301,599,0.2211807388415433
302,405,0.22007483514733558
303,882,0.2189744609715989
304,1057,0.2178795886667409
305,2875,0.2167901907234072
306,2858,0.21570623976979014
307,2820,0.21462770857094118
308,1984,0.21355457002808648
309,1778,0.21248679717794605
310,862,0.21142436319205632
311,528,0.21036724137609603
312,850,0.20931540516921554
313,597,0.20826882814336947
314,1107,0.20722748400265262
315,915,0.20619134658263935
316,850,0.20516038984972615
317,674,0.2041345879004775
318,427,0.2031139149609751
319,2545,0.20209834538617025
320,332,0.2010878536592394
321,684,0.2000824143909432
322,621,0.19908200231898848
323,-37,0.19808659230739353
